id,label,square,piece,shap_win,shap_loss
24,g2,g2,♙,0.098,-0.09809091848848174
24,f3,f3,♙,0.087,-0.0874680068700304
24,b2,b2,♙,0.08,-0.07987907769616485
24,e4,e4,♙,0.0,0.0
24,h2,h2,♙,0.0,0.0
24,g5,g5,♟,0.0,0.0
24,e5,e5,♟,0.0,0.0
24,b5,b5,♟,0.0,0.0
24,h7,h7,♟,0.0,0.0
25,Ra6,a6,♖,0.437,-0.4366840079365048
25,b6,b6,♙,0.24,-0.2401205158730157
25,Nc4,c4,♘,0.192,-0.1919788492063478
25,Bc5,c5,♝,-0.175,0.17498742063492
25,f4,f4,♟,-0.161,0.16068623015872857
25,Ng5,g5,♞,-0.115,0.11457432539682441
25,h7,h7,♟,-0.102,0.10182591269841178
25,b2,b2,♙,0.099,-0.09926654761904709
25,e5,e5,♟,-0.09,0.08991559523809435
25,h2,h2,♙,0.056,-0.05593956349206386
25,e4,e4,♙,0.0,0.0
